============================================================
代理检测报告 - 2025-12-29 12:56:53.766773
检测文件: as4766/iptest_as4766.txt
检测时间: 2025-12-29 12:56:53
============================================================
总计检测: 138
成功: 132
失败: 6
超时: 3
成功率: 95.7%

可用代理 (按平均响应时间排序):
220.76.161.245:50001#353ms (范围: 347ms-359ms)
211.251.205.152:50001#353ms (范围: 350ms-359ms)
175.200.50.108:50001#353ms (范围: 346ms-360ms)
222.119.15.241:50001#353ms (范围: 350ms-358ms)
222.114.4.16:50001#353ms (范围: 349ms-357ms)
222.118.160.104:50001#354ms (范围: 343ms-362ms)
175.199.26.34:50001#354ms (范围: 348ms-362ms)
121.147.229.1:50001#355ms (范围: 337ms-390ms)
61.81.94.142:50001#355ms (范围: 350ms-359ms)
121.177.132.65:50001#356ms (范围: 354ms-359ms)
220.84.223.218:50001#357ms (范围: 355ms-360ms)
125.135.0.251:50001#357ms (范围: 350ms-362ms)
118.32.105.202:50001#358ms (范围: 352ms-369ms)
211.248.217.7:50001#358ms (范围: 355ms-361ms)
121.148.149.162:50001#358ms (范围: 353ms-367ms)
61.74.102.249:50001#359ms (范围: 352ms-365ms)
119.195.96.236:50001#359ms (范围: 349ms-379ms)
61.82.217.98:50001#360ms (范围: 353ms-365ms)
59.22.241.121:50001#361ms (范围: 352ms-369ms)
118.40.208.225:50001#365ms (范围: 355ms-379ms)
211.184.116.84:50001#368ms (范围: 358ms-380ms)
221.161.185.219:50001#371ms (范围: 368ms-376ms)
118.46.112.167:50001#1011ms (范围: 350ms-1823ms)
